,FISCAL_YEAR,ATS.SYSTEM.CODE,LOCATION_CODE,LOCATION_NAME,BEDS.NUMBER,schoolType,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,lat,lon,economicneedsIndex,povertyPercentage,percentFemale,# Male,percentMale,# Asian,percentAsian,# Black,percentBlack,# Hispanic,percentHispanic,# Multiple Race Categories Not Represented,percentMultiracial,# White,percentWhite,# Students with Disabilities,percentDisability,# English Language Learners,percentELL,# Poverty,totalEnrollment
11,2018,01M184,M184,P.S. 184m Shuang Wen,3.10E+11,DOE,General Academic,K-8,6/22/1999 0:00,Open,M137,327 CHERRY STREET,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,Iris Chiu,PRINCIPAL,212-602-9700,212-602-9710,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.711125,-73.985438,0.64,67.5,49.9,343,50.1,475,69.4,25,3.7,92,13.5,42,6.1,50,7.3,113,16.5,103,15.1,462,684
12,2018,01M188,M188,P.S. 188 The Island School,3.10E+11,DOE,General Academic,K-8,7/1/1904 0:00,Open,M188,442 EAST HOUSTON STREET,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Suany Ramos,PRINCIPAL,212-677-5710,212-228-3007,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.719888,-73.97738,0.953,91.5,42.7,248,57.3,8,1.8,127,29.3,286,66.1,0,0,12,2.8,126,29.1,69,15.9,396,433
13,2018,01M292,M292,Orchard Collegiate Academy,3.10E+11,DOE,General Academic,High school,9/8/2004 0:00,Open,M056,220 HENRY STREET,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,MILES DOYLE,PRINCIPAL,212-406-9411,NULL,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.713362,-73.986051,0.891,91.2,47.4,90,52.6,19,11.1,43,25.1,97,56.7,4,2.3,8,4.7,42,24.6,23,13.5,156,171
14,2018,01M301,M301,"Technology, Arts, and Sciences Studio",3.10E+11,DOE,General Academic,Junior High-Intermediate-Middle,7/1/2005 0:00,Open,M019,185 1 AVENUE,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,GEORGE MORGAN,PRINCIPAL,212-982-1836,212-982-0528,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.730009,-73.984496,0.834,82.1,45.3,58,54.7,4,3.8,34,32.1,58,54.7,4,3.8,6,5.7,45,42.5,3,2.8,87,106
15,2018,01M315,M315,The East Village Community School,3.10E+11,DOE,General Academic,Elementary,7/1/1999 0:00,Open,M061,610 EAST  12 STREET,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,Bradley Goodman,PRINCIPAL,212-982-0682,212-260-4012,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.727537,-73.978254,0.351,25.2,50.6,157,49.4,32,10.1,17,5.3,64,20.1,22,6.9,183,57.5,55,17.3,4,1.3,80,318
16,2018,01M332,M332,University Neighborhood Middle School,3.10E+11,DOE,General Academic,Junior High-Intermediate-Middle,9/13/2004 0:00,Open,M056,220 HENRY STREET,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,LAURA PEYNADO CASTRO,PRINCIPAL,212-267-5701,212-349-8224,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.713362,-73.986051,0.844,87.7,43.3,115,56.7,18,8.9,47,23.2,128,63.1,2,1,8,3.9,90,44.3,11,5.4,178,203
17,2018,01M361,M361,The Children's Workshop School,3.10E+11,DOE,General Academic,Elementary,7/1/1999 0:00,Open,M061,610 EAST  12 STREET,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,MARIA VELEZ CLARKE,PRINCIPAL,212-614-9531,212-614-9462,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.727537,-73.978254,0.49,45.1,46.3,169,53.7,31,9.8,29,9.2,124,39.4,20,6.3,111,35.2,67,21.3,9,2.9,142,315
18,2018,01M363,M363,Neighborhood School,3.10E+11,DOE,General Academic,Elementary,7/1/1999 0:00,Open,M063,121 EAST  3 STREET,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,Dyanthe Spielberg,PRINCIPAL,212-387-0195,212-387-0198,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72444,-73.986214,0.48,43.8,49,155,51,19,6.3,28,9.2,106,34.9,11,3.6,140,46.1,64,21.1,11,3.6,133,304
19,2018,01M364,M364,Earth School,3.10E+11,DOE,General Academic,Elementary,7/1/1999 0:00,Open,M064,600 EAST  6 STREET,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,ABBE FUTTERMAN,PRINCIPAL,212-477-1735,212-477-2396,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72313,-73.981597,0.537,53,45.4,194,54.6,24,6.8,40,11.3,139,39.2,31,8.7,121,34.1,91,25.6,21,5.9,188,355
20,2018,01M378,M378,School for Global Leaders,3.10E+11,DOE,General Academic,Junior High-Intermediate-Middle,7/1/2008 0:00,Open,M025,145 STANTON STREET,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Keri Ricks,PRINCIPAL,212-260-5375,212-432-5586,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72004,-73.986038,0.839,80.1,43.4,145,56.6,35,13.7,70,27.3,145,56.6,2,0.8,4,1.6,98,38.3,23,9,205,256
21,2018,01M448,M448,University Neighborhood High School,3.10E+11,DOE,General Academic,High school,6/4/1999 0:00,Open,M446,200 MONROE STREET,988650,198776,103,1,202,1002590044,MN28,Lower East Side                                                            ,Elizabeth Collins,PRINCIPAL,212-962-4341,212-267-5611,1,HS04,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL",40.712269,-73.984128,0.818,87.3,42.6,267,57.4,141,30.3,100,21.5,206,44.3,3,0.6,15,3.2,79,17,46,9.9,406,465
22,2018,01M450,M450,East Side Community School,3.10E+11,DOE,General Academic,Secondary School,6/5/1996 0:00,Open,M060,420 EAST 12 STREET,989108,204927,103,2,3400,1004390017,MN22,East Village                                                               ,MARK FEDERMAN,PRINCIPAL,212-460-8467,212-260-9657,1,HS12,NULL,NULL,Affinity Group,"ANORMALIZA, ALEXANDRA",School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"PELLES, KATHY",40.729152,-73.982472,0.623,64.7,46.4,366,53.6,81,11.9,113,16.5,367,53.7,22,3.2,100,14.6,180,26.4,6,0.9,442,683
23,2018,01M458,M458,Forsyth Satellite Academy,3.10E+11,DOE,Transfer School,High school,7/1/2010 0:00,Open,M510,198 FORSYTH STREET,986892,202472,103,1,3601,1004220072,MN27,Chinatown                                                                  ,Brady Smith,Acting Principal,212-677-8900,212-260-3063,1,HS12,NULL,NULL,Affinity Group,"ANORMALIZA, ALEXANDRA",School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"PELLES, KATHY",40.722415,-73.990468,0.84,85.7,57.6,86,42.4,1,0.5,70,34.5,121,59.6,2,1,9,4.4,57,28.1,16,7.9,174,203
24,2018,01M509,M509,Marta Valle High School,3.10E+11,DOE,General Academic,High school,6/5/1996 0:00,Open,M025,145 STANTON STREET,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Steven Aragona,PRINCIPAL,212-473-8152,212-475-7588,1,HS04,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL",40.72004,-73.986038,0.822,93.2,59.5,60,40.5,7,4.7,47,31.8,88,59.5,2,1.4,4,2.7,38,25.7,10,6.8,138,148
25,2018,01M515,M515,Lower East Side Preparatory High School,3.10E+11,DOE,Transfer School,High school,6/5/1996 0:00,Open,M025,145 STANTON STREET,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Rene Anaya,PRINCIPAL,212-505-6366,212-260-0813,1,HS10,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",40.72004,-73.986038,0.951,74.9,42.5,320,57.5,318,57.1,58,10.4,165,29.6,6,1.1,10,1.8,26,4.7,391,70.2,417,557
26,2018,01M539,M539,"New Explorations into Science, Technology and Math",3.10E+11,DOE,General Academic,K-12 all grades,7/1/2000 0:00,Open,M022,111 COLUMBIA STREET,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,MARK BERKOWITZ,PRINCIPAL,212-677-5190,212-260-8124,1,HS04,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL",40.719416,-73.979581,0.278,22.8,47.9,903,52.1,575,33.2,134,7.7,204,11.8,129,7.4,692,39.9,139,8,14,0.8,395,1734
27,2018,01M650,M650,Cascades High School,3.10E+11,DOE,Transfer School,High school,1/5/1998 0:00,Open,M510,198 FORSYTH STREET,986892,202472,103,1,3601,1004220072,MN27,Chinatown                                                                  ,Claire Sheehan,I.A. PRINCIPAL,646-654-1261,646-654-1742,1,HS10,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",40.722415,-73.990468,0.848,83.4,54.8,109,45.2,10,4.1,95,39.4,127,52.7,4,1.7,5,2.1,33,13.7,7,2.9,201,241
28,2018,01M696,M696,Bard High School Early College,3.10E+11,DOE,General Academic,High school,7/1/2001 0:00,Open,M097,525 EAST HOUSTON STREET,990877,200965,103,2,1002,1003250025,MN28,Lower East Side                                                            ,MICHAEL LERNER,PRINCIPAL,212-995-8479,212-777-4702,1,HS04,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL",40.718276,-73.976093,0.408,43.5,63.1,217,36.9,167,28.4,80,13.6,100,17,11,1.9,230,39.1,29,4.9,1,0.2,256,588
29,2018,01M839,M839,Tompkins Square Middle School,3.10E+11,DOE,General Academic,Junior High-Intermediate-Middle,7/1/2001 0:00,Open,M064,600 EAST  6 STREET,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,SONHANDO ESTWICK,PRINCIPAL,212-995-1430,212-979-1341,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72313,-73.981597,0.674,68.9,53.1,175,46.9,86,23.1,51,13.7,144,38.6,14,3.8,78,20.9,99,26.5,8,2.1,257,373
30,2018,02M001,M001,P.S. 001 Alfred E. Smith,3.10E+11,DOE,General Academic,Elementary,07/01/1898 12:00:00 AM,Open,M001,8 HENRY STREET,984949,198878,103,1,2700,1002790040,MN27,Chinatown                                                                  ,AMY HOM,PRINCIPAL,212-267-4133,212-267-4469,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.71255,-73.997478,0.827,78.6,49.7,160,50.3,170,53.5,56,17.6,82,25.8,4,1.3,6,1.9,81,25.5,64,20.1,250,318
31,2018,02M002,M002,P.S. 002 Meyer London,3.10E+11,DOE,General Academic,Elementary,7/1/1958 0:00,Open,M002,122 HENRY STREET,986600,199008,103,1,600,1002730001,MN28,Lower East Side                                                            ,Silvana Ng,PRINCIPAL,212-964-0350,212-608-4080,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.712907,-73.991523,0.902,96.6,47.3,291,52.7,434,78.6,29,5.3,82,14.9,2,0.4,5,0.9,119,21.6,180,32.6,533,552
32,2018,02M003,M003,P.S. 003 Charrette School,3.10E+11,DOE,General Academic,Elementary,7/1/1905 0:00,Open,M003,490 HUDSON STREET,982601,206184,102,3,7300,1005850041,MN23,West Village                                                               ,LISA SIEGMAN,PRINCIPAL,212-691-1183,212-675-5306,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.732603,-74.005949,0.19,20.8,49,384,51,65,8.6,43,5.7,104,13.8,39,5.2,502,66.7,139,18.5,24,3.2,157,753
33,2018,02M006,M006,P.S. 006 Lillie D. Blake,3.10E+11,DOE,General Academic,Elementary,7/1/1953 0:00,Open,M006,45 EAST  81 STREET,995210,222630,108,4,14200,1014930021,MN40,Upper East Side-Carnegie Hill                                              ,LAUREN FONTANA,PRINCIPAL,212-737-9774,212-772-8669,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,NULL,NULL,NULL,40.777737,-73.960427,0.123,11.5,49,354,51,103,14.8,17,2.4,45,6.5,12,1.7,517,74.5,102,14.7,20,2.9,80,694
34,2018,02M011,M011,P.S. 011 William T. Harris,3.10E+11,DOE,General Academic,Elementary,7/1/1925 0:00,Open,M011,320 WEST  21 STREET,984044,210404,104,3,8900,1007440024,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,ROBERT BENDER,PRINCIPAL,212-929-1743,212-989-7816,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,NULL,NULL,NULL,40.744186,-74.000743,0.336,29.4,50.2,460,49.8,146,15.8,57,6.2,223,24.2,60,6.5,437,47.3,122,13.2,30,3.3,271,923
35,2018,02M033,M033,P.S. 033 Chelsea Prep,3.10E+11,DOE,General Academic,Elementary,7/1/1951 0:00,Open,M033,281 9 AVENUE,984184,212163,104,3,9700,1007240023,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Chingchien Wang,PRINCIPAL,212-244-6426,212-629-6893,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.749014,-74.000238,0.493,47.5,52.6,308,47.4,147,22.6,117,18,183,28.2,54,8.3,149,22.9,101,15.5,29,4.5,309,650
36,2018,02M040,M040,P.S. 040 Augustus Saint-Gaudens,3.10E+11,DOE,General Academic,Elementary,07/01/1899 12:00:00 AM,Open,M040,319 EAST 19 STREET,989367,207177,106,2,6400,1009250012,MN21,Gramercy                                                                   ,SUSAN FELDER,PRINCIPAL,212-475-5500,212-533-5388,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.735328,-73.981536,0.159,9.4,51.4,327,48.6,80,11.9,10,1.5,95,14.1,73,10.8,415,61.7,107,15.9,21,3.1,63,673
37,2018,02M041,M041,P.S. 041 Greenwich Village,3.10E+11,DOE,General Academic,Elementary,7/1/1958 0:00,Open,M041,116 WEST  11 STREET,984501,207221,102,3,7100,1006060049,MN23,West Village                                                               ,KELLY SHANNON,PRINCIPAL,212-675-2756,212-924-0910,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.73545,-73.999094,0.073,8.6,54.2,318,45.8,54,7.8,9,1.3,72,10.4,80,11.5,479,69,101,14.6,11,1.6,60,694
38,2018,02M042,M042,P.S. 042 Benjamin Altman,3.10E+11,DOE,General Academic,Elementary,07/01/1899 12:00:00 AM,Open,M042,71 HESTER STREET,986793,200181,103,1,1600,1003090001,MN27,Chinatown                                                                  ,May Lee,PRINCIPAL,212-226-8410,212-431-7384,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.716126,-73.990826,0.816,75.5,47,346,53,579,88.7,9,1.4,44,6.7,5,0.8,16,2.5,110,16.8,225,34.5,493,653
39,2018,02M047,M047,47 The American Sign Language and English Secondar,3.10E+11,DOE,Special Education,High school,7/1/1908 0:00,Open,M047,223 EAST 23 STREET,989424,208287,106,2,6400,1009040024,MN21,Gramercy                                                                   ,WATFA SHAMA,PRINCIPAL,917-326-6668,917-326-6688,2,HS04,NULL,NULL,Field Support Center - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL",40.738374,-73.981329,0.827,87.9,74.5,42,25.5,3,1.8,47,28.5,107,64.8,3,1.8,5,3,51,30.9,13,7.9,145,165
40,2018,02M051,M051,P.S. 051 Elias Howe,3.10E+11,DOE,General Academic,Elementary,7/1/1905 0:00,Open,M338,525 WEST 44TH STREET,985501,216735,104,3,12900,1010730014,MN15,Clinton                                                                    ,Ryan Bourke,I.A. PRINCIPAL,212-315-7160,212-315-7165,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,NULL,NULL,NULL,40.761487,-73.995825,0.6,58.5,51.2,221,48.8,81,17.9,72,15.9,205,45.3,14,3.1,81,17.9,90,19.9,35,7.7,265,453
41,2018,02M059,M059,P.S. 059 Beekman Hill International,3.10E+11,DOE,General Academic,Elementary,7/1/1960 0:00,Open,M488,231-249 EAST 56 STREET,993533,215912,106,4,10800,1013300013,MN19,Turtle Bay-East Midtown                                                    ,ADELE SCHROETER,PRINCIPAL,212-888-7870,212-888-7872,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",Field Support Center - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,NULL,NULL,NULL,40.759248,-73.967204,0.08,8.8,51,301,49,108,17.6,8,1.3,64,10.4,57,9.3,377,61.4,92,15,23,3.7,54,614
